,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
25661,38573488,1,2,1.0,1.5,1.0,30,25,0,1,0,0,0,0,0,1,22232,65.0,4.174387269895637
25662,38573589,1,1,1.0,2.0,2.0,24,5,0,1,0,0,0,0,0,1,22232,40.0,3.6888794541139363
25663,38574077,0,2,1.0,1.0,1.0,21,43,0,0,0,0,1,0,0,1,31992,43.0,3.7612001156935624
25664,38575482,0,2,0.0,1.0,1.0,17,1,0,0,0,1,0,1,0,0,50985,115.0,4.74493212836325
25665,38575633,1,8,2.0,1.0,5.0,18,20,0,0,1,0,0,1,0,0,31406,200.0,5.298317366548036
25666,38575689,0,1,1.0,1.5,1.0,11,3,0,0,1,0,0,0,0,1,31406,70.0,4.248495242049359
25667,38576601,0,4,2.0,1.0,1.0,24,3,1,0,0,1,0,1,0,0,50985,195.0,5.272999558563747
25668,38577883,0,2,1.0,1.0,1.0,13,7,0,0,1,0,0,0,0,1,31406,70.0,4.248495242049359
25669,38578778,0,2,1.0,1.0,1.0,13,0,0,1,0,0,0,1,0,0,22232,95.0,4.553876891600541
25670,38582198,0,2,1.0,1.0,1.0,11,0,0,0,1,0,0,0,0,1,31406,55.0,4.007333185232471
25671,38582724,0,1,1.0,1.0,1.0,15,7,0,0,1,0,0,0,0,1,31406,40.0,3.6888794541139363
25672,38583006,0,2,1.0,1.0,1.0,23,14,1,0,0,1,0,0,0,1,50985,65.0,4.174387269895637
25673,38584195,0,2,1.0,1.0,1.0,22,22,0,0,1,0,0,0,0,1,31406,60.0,4.0943445622221
25674,38584270,0,4,2.0,1.0,2.0,17,3,0,0,0,1,0,1,0,0,50985,115.0,4.74493212836325
25675,38584735,0,2,1.0,1.0,1.0,17,0,0,0,1,0,0,0,0,1,31406,75.0,4.31748811353631
25676,38585315,0,3,1.0,1.0,2.0,19,9,0,0,1,0,0,0,0,1,31406,75.0,4.31748811353631
25677,38586243,0,1,1.0,1.0,1.0,13,33,0,0,1,0,0,0,0,1,31406,35.0,3.5553480614894135
25678,38594345,0,2,1.0,1.0,1.0,12,0,1,0,0,1,0,0,0,1,50985,45.0,3.8066624897703196
25679,38596531,0,2,1.0,1.0,1.0,22,1,1,0,0,0,1,0,0,1,31992,45.0,3.8066624897703196
25680,38598581,0,6,2.0,2.0,3.0,19,1,1,0,0,1,0,0,1,0,50985,436.0,6.077642243349034
25681,38598735,0,2,1.0,2.0,1.0,19,2,0,0,0,1,0,0,0,1,50985,125.0,4.8283137373023015
25682,38599093,0,4,2.0,2.0,2.0,14,0,1,0,0,1,0,0,1,0,50985,391.0,5.968707559985366
25683,38599141,0,1,1.0,1.0,1.0,21,1,0,0,0,1,0,0,0,0,50985,80.0,4.382026634673881
25684,38599919,0,3,1.0,1.0,1.0,32,18,0,0,0,0,1,1,0,0,31992,100.0,4.605170185988092
25685,38602447,0,1,1.0,2.0,1.0,32,1,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25686,38602668,0,2,1.0,1.0,1.0,10,5,0,0,1,0,0,0,0,1,31406,200.0,5.298317366548036
25687,38603451,0,2,1.0,1.0,1.0,20,0,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25688,38604587,0,6,2.0,1.0,3.0,26,57,0,0,0,1,0,1,0,0,50985,122.0,4.804021044733257
25689,38606474,0,2,1.0,1.0,1.0,23,26,1,0,0,1,0,0,0,1,50985,39.0,3.6635616461296463
25690,38606577,0,2,1.0,1.0,1.0,26,33,1,0,0,1,0,0,0,1,50985,52.0,3.9512437185814275
25691,38609434,0,1,1.0,1.0,1.0,14,1,0,0,1,0,0,0,0,1,31406,80.0,4.382026634673881
25692,38617525,0,2,1.0,1.5,1.0,16,7,0,0,0,0,1,0,0,1,31992,35.0,3.5553480614894135
25693,38617814,1,4,2.0,1.0,2.0,28,18,0,0,1,0,0,1,0,0,31406,160.0,5.075173815233827
25694,38618500,1,6,2.0,1.0,4.0,41,34,0,0,1,0,0,1,0,0,31406,186.0,5.225746673713202
25695,38619550,0,2,1.0,1.0,1.0,13,0,0,0,0,1,0,0,0,1,50985,290.0,5.66988092298052
25696,38621136,0,2,1.0,1.0,1.0,34,16,0,1,0,0,0,0,0,1,22232,55.0,4.007333185232471
25697,38622270,0,2,1.0,1.0,1.0,19,0,0,1,0,0,0,0,0,0,22232,60.0,4.0943445622221
25698,38623036,1,2,0.0,1.0,1.0,15,48,1,1,0,0,0,0,0,1,22232,70.0,4.248495242049359
25699,38624089,0,6,2.0,2.0,3.0,35,2,1,0,1,0,0,1,0,0,31406,444.0,6.095824562432225
25700,38624335,0,2,1.0,1.0,1.0,17,1,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25701,38624439,0,4,2.0,1.0,2.0,17,0,0,0,0,1,0,1,0,0,50985,115.0,4.74493212836325
25702,38624918,0,1,1.0,2.0,1.0,16,0,1,0,1,0,0,0,0,1,31406,50.0,3.912023005428146
25703,38625166,0,2,1.0,1.0,1.0,21,2,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25704,38625308,0,2,1.0,1.0,1.0,18,2,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25705,38626886,1,2,1.0,1.0,1.0,22,13,0,1,0,0,0,0,0,1,22232,56.0,4.02535169073515
25706,38626897,0,3,1.0,1.0,1.0,22,6,0,0,0,1,0,1,0,0,50985,200.0,5.298317366548036
25707,38628246,0,2,1.0,1.0,1.0,27,44,0,0,0,1,0,1,0,0,50985,125.0,4.8283137373023015
25708,38628385,0,3,1.0,1.5,1.0,18,47,0,0,0,0,1,0,0,1,31992,50.0,3.912023005428146
25709,38633932,1,2,1.0,1.0,1.0,16,2,0,0,0,0,1,0,0,0,31992,49.0,3.8918202981106265
25710,38639569,0,2,1.0,1.0,1.0,16,0,0,0,1,0,0,1,0,0,31406,165.0,5.10594547390058
25711,38641232,0,4,2.0,1.5,3.0,25,1,0,0,1,0,0,1,0,0,31406,249.0,5.517452896464707
25712,38643609,0,2,1.0,1.0,1.0,19,13,0,0,0,0,1,0,0,1,31992,53.0,3.970291913552122
25713,38645543,0,2,0.0,1.0,2.0,21,6,1,0,1,0,0,1,0,0,31406,50.0,3.912023005428146
25714,38645666,1,2,1.0,1.0,1.0,26,7,0,0,0,0,0,1,0,0,39777,75.0,4.31748811353631
25715,38645667,0,1,1.0,1.0,1.0,19,0,0,0,0,1,0,0,0,1,50985,55.0,4.007333185232471
25716,38645958,0,10,4.0,3.0,5.0,32,19,0,0,0,1,0,1,0,0,50985,454.0,6.118097198041348
25717,38645987,0,1,1.0,1.0,0.0,19,39,1,0,1,0,0,0,0,1,31406,200.0,5.298317366548036
25718,38646409,0,10,2.0,1.0,9.0,25,54,1,0,0,0,1,0,0,1,31992,102.0,4.624972813284271
25719,38647327,1,2,1.0,1.0,1.0,20,0,0,0,0,1,0,1,0,0,50985,185.0,5.220355825078324
25720,38648046,0,2,1.0,1.0,1.0,15,9,1,0,0,0,1,0,0,1,31992,50.0,3.912023005428146
25721,38655825,0,7,3.0,2.0,4.0,27,9,1,0,1,0,0,1,0,0,31406,180.0,5.19295685089021
25722,38660568,1,2,1.0,1.5,1.0,17,5,0,0,1,0,0,0,0,1,31406,100.0,4.605170185988092
25723,38664426,1,2,1.0,1.5,1.0,24,3,1,0,1,0,0,1,0,0,31406,189.0,5.241747015059643
25724,38666081,0,4,1.0,2.0,1.0,26,8,0,0,1,0,0,1,0,0,31406,90.0,4.499809670330265
25725,38667318,0,4,3.0,1.0,3.0,15,0,1,0,0,0,1,0,0,1,31992,120.0,4.787491742782046
25726,38667434,1,8,3.0,2.0,4.0,16,1,0,0,0,0,1,0,0,1,31992,234.0,5.455321115357702
25727,38667652,0,2,0.0,1.0,1.0,23,4,1,0,0,1,0,1,0,0,50985,200.0,5.298317366548036
25728,38667973,0,3,0.0,1.0,2.0,21,0,0,0,0,1,0,1,0,0,50985,250.0,5.521460917862246
25729,38670210,0,4,2.0,2.0,2.0,17,2,0,0,0,1,0,1,0,0,50985,135.0,4.90527477843843
25730,38671835,0,2,1.0,1.0,1.0,36,7,0,0,1,0,0,1,0,0,31406,130.0,4.867534450455582
25731,38674685,0,6,2.0,2.0,3.0,29,35,1,0,0,1,0,1,0,0,50985,252.0,5.529429087511423
25732,38676196,1,4,1.0,1.0,2.0,24,9,0,0,1,0,0,1,0,0,31406,100.0,4.605170185988092
25733,38688328,1,4,2.0,1.0,2.0,29,30,0,1,0,0,0,1,0,0,22232,174.0,5.159055299214529
25734,38688733,0,2,0.0,1.0,1.0,26,33,1,0,0,1,0,1,0,0,50985,103.0,4.634728988229636
25735,38694174,0,1,1.0,2.0,1.0,32,2,1,0,0,1,0,0,0,1,50985,99.0,4.59511985013459
25736,38694732,0,2,1.0,1.0,1.0,20,5,0,0,1,0,0,0,0,1,31406,88.0,4.477336814478207
25737,38694964,0,2,1.0,1.0,1.0,18,17,0,0,1,0,0,0,0,1,31406,60.0,4.0943445622221
25738,38695193,0,3,1.0,1.0,2.0,28,2,1,0,0,1,0,0,0,1,50985,79.0,4.3694478524670215
25739,38696509,1,1,1.0,1.0,1.0,22,46,1,0,0,1,0,0,0,1,50985,60.0,4.0943445622221
25740,38697036,0,4,1.0,1.0,2.0,37,37,0,0,1,0,0,1,0,0,31406,151.0,5.017279836814924
25741,38698551,0,4,0.0,1.0,2.0,17,15,1,0,0,1,0,1,0,0,50985,250.0,5.521460917862246
25742,38699692,1,1,1.0,1.0,1.0,26,19,0,0,1,0,0,0,0,0,31406,25.0,3.2188758248682006
25743,38699887,0,2,0.0,1.0,1.0,14,46,0,0,1,0,0,0,0,1,31406,35.0,3.5553480614894135
25744,38701141,0,1,1.0,2.0,1.0,23,0,1,0,1,0,0,0,0,1,31406,43.0,3.7612001156935624
